STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/18/1941,0.02,,,,68,46
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/19/1941,0.03,,,,82,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/20/1941,0.2,,,,88,59
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/21/1941,0,,,,64,39
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/22/1941,0,,,,49,29
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/23/1941,0,,,,60,26
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/24/1941,0.02,,,,54,39
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/25/1941,0,,,,56,35
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/26/1941,0,,,,63,32
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/27/1941,0,,,,65,37
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/28/1941,0,,,,73,36
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/29/1941,0,,,,80,32
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",4/30/1941,0,,,,73,45
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/1/1941,0,,,,59,36
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/2/1941,0,,,,49,28
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/3/1941,0,,,,59,26
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/4/1941,0.04,,,,68,33
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/5/1941,0.01,,,,64,39
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/6/1941,0,,,,80,36
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/7/1941,0,,,,86,65
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/8/1941,0.45,,,,74,51
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/9/1941,0,,,,67,46
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/10/1941,0,,,,58,39
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/11/1941,0,,,,60,33
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/12/1941,0,,,,63,28
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/13/1941,0,,,,66,30
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/14/1941,0,,,,71,36
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/15/1941,0,,,,75,36
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/16/1941,0,,,,83,39
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/17/1941,0.72,,,,61,43
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/18/1941,0,,,,61,39
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/19/1941,0,,,,71,33
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/20/1941,0,,,,77,42
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/21/1941,0,,,,91,49
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/22/1941,0,,,,90,60
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/23/1941,0.04,,,,78,51
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/24/1941,0.2,,,,56,41
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/25/1941,0.01,,,,58,45
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/26/1941,0.3,,,,73,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/27/1941,0.1,,,,61,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/28/1941,0.38,,,,80,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/29/1941,0.01,,,,63,40
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/30/1941,0,,,,66,36
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",5/31/1941,0,,,,74,38
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/1/1941,0,,,,77,48
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/2/1941,0,,,,78,47
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/3/1941,0,,,,76,47
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/4/1941,0,,,,79,43
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/5/1941,0,,,,71,49
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/6/1941,0,,,,78,48
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/7/1941,0,,,,89,48
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/8/1941,0,,,,86,52
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/9/1941,0,,,,69,48
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/10/1941,0,,,,67,50
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/11/1941,0,,,,66,42
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/12/1941,0,,,,76,40
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/13/1941,0.05,,,,67,56
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/14/1941,0.22,,,,78,58
