"game_date","season","game_type","season_game","team","opponent","location","personal_foul","points","game_score","result","score_diff"
2015-03-20,"2014/15","Reg Season",60,"CLE","IND","Home",0,33,18.2,"Win",3
2015-03-22,"2014/15","Reg Season",61,"CLE","MIL","Away",1,30,28.4,"Win",18
2015-03-25,"2014/15","Reg Season",62,"CLE","MEM","Away",2,26,16,"Win",22
2015-03-27,"2014/15","Reg Season",63,"CLE","BRK","Away",4,28,24.8,"Loss",-8
2015-03-29,"2014/15","Reg Season",64,"CLE","PHI","Home",0,22,9.2,"Win",1
2015-04-02,"2014/15","Reg Season",65,"CLE","MIA","Home",3,25,21.6,"Win",26
2015-04-05,"2014/15","Reg Season",66,"CLE","CHI","Home",4,22,21.4,"Win",5
2015-04-08,"2014/15","Reg Season",67,"CLE","MIL","Away",2,25,21.3,"Win",5
2015-04-10,"2014/15","Reg Season",68,"CLE","BOS","Home",1,14,7.6,"Loss",-9
2015-04-13,"2014/15","Reg Season",69,"CLE","DET","Home",0,27,24.7,"Win",12
2018-10-18,"2018/19","Reg Season",1,"LAL","POR","Away",3,26,20.4,"Loss",-9
2018-10-20,"2018/19","Reg Season",2,"LAL","HOU","Home",0,26,18.1,"Loss",-9
2018-10-22,"2018/19","Reg Season",3,"LAL","SAS","Home",2,36,26.6,"Loss",-1
2018-10-24,"2018/19","Reg Season",4,"LAL","PHO","Away",1,21,22.3,"Win",18
2018-10-25,"2018/19","Reg Season",5,"LAL","DEN","Home",3,30,29.7,"Win",7
2018-10-27,"2018/19","Reg Season",6,"LAL","SAS","Away",3,39,28.4,"Loss",-4
2018-10-29,"2018/19","Reg Season",7,"LAL","MIN","Away",2,35,24.3,"Loss",-4
2018-10-31,"2018/19","Reg Season",8,"LAL","DAL","Home",3,33,23.8,"Win",1
2018-11-03,"2018/19","Reg Season",9,"LAL","POR","Away",1,30,21.2,"Win",4
2018-11-04,"2018/19","Reg Season",10,"LAL","TOR","Home",3,22,12.1,"Loss",-14
