album,track_name,line,lyric,element,element_artist
Taylor Swift,Teardrops On My Guitar,9,That I can't even see,Verse 2,Taylor Swift
Taylor Swift,Teardrops On My Guitar,10,Anyone when he's with me,Verse 2,Taylor Swift
Taylor Swift,Teardrops On My Guitar,11,"He says he's so in love, he's finally got it right",Pre-Chorus 2,Taylor Swift
Taylor Swift,Teardrops On My Guitar,12,I wonder if he knows he's all I think about at night,Pre-Chorus 2,Taylor Swift
Taylor Swift,Teardrops On My Guitar,13,He's the reason for the teardrops on my guitar,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,14,The only thing that keeps me wishing on a wishing star,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,15,He's the song in the car,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,16,"I keep singing, don't know why I do...",Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,17,Drew walks by me,Verse 3,Taylor Swift
Taylor Swift,Teardrops On My Guitar,18,Can't he tell that I can't breathe?,Verse 3,Taylor Swift
Taylor Swift,Teardrops On My Guitar,19,"And there he goes, so perfectly",Verse 3,Taylor Swift
Taylor Swift,Teardrops On My Guitar,20,The kind of flawless I wish I could be,Verse 3,Taylor Swift
Taylor Swift,Teardrops On My Guitar,21,"She'd better hold him tight, give him all her love",Pre-Chorus 3,Taylor Swift
Taylor Swift,Teardrops On My Guitar,22,Look in those beautiful eyes and know she's lucky 'cause,Pre-Chorus 3,Taylor Swift
Taylor Swift,Teardrops On My Guitar,23,He's the reason for the teardrops on my guitar,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,24,The only thing that keeps me wishing on a wishing star,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,25,He's the song in the car,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,26,"I keep singing, don't know why I do...",Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,27,"So I drive home alone, as I turn off the light",Bridge,Taylor Swift
Taylor Swift,Teardrops On My Guitar,28,I'll put his picture down and maybe get some sleep tonight,Bridge,Taylor Swift
Taylor Swift,Teardrops On My Guitar,29,'Cause he's the reason for the teardrops on my guitar,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,30,The only one who's got enough of me to break my heart,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,31,He's the song in the car,Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,32,"I keep singing, don't know why I do...",Chorus,Taylor Swift
Taylor Swift,Teardrops On My Guitar,33,"He's the time taken up, but there's never enough",Outro,Taylor Swift
Taylor Swift,Teardrops On My Guitar,34,And he's all that I need to fall into,Outro,Taylor Swift
Taylor Swift,Teardrops On My Guitar,35,Drew looks at me,Outro,Taylor Swift
Taylor Swift,Teardrops On My Guitar,36,I fake a smile so he won't see,Outro,Taylor Swift
Taylor Swift,A Place In This World,1,"I don't know what I want, so don't ask me",Verse 1,Taylor Swift
Taylor Swift,A Place In This World,2,Cause I'm still trying to figure it out,Verse 1,Taylor Swift
Taylor Swift,A Place In This World,3,"Don't know what's down this road, I'm just walking",Verse 1,Taylor Swift
Taylor Swift,A Place In This World,4,Trying to see through the rain coming down,Verse 1,Taylor Swift
Taylor Swift,A Place In This World,5,Even though I'm not the only one,Verse 1,Taylor Swift
Taylor Swift,A Place In This World,6,Who feels the way I do,Verse 1,Taylor Swift
Taylor Swift,A Place In This World,7,"I'm alone, on my own, and that's all I know",Chorus,Taylor Swift
Taylor Swift,A Place In This World,8,"I'll be strong, I'll be wrong, oh but life goes on",Chorus,Taylor Swift
Taylor Swift,A Place In This World,9,"Oh, I'm just a girl, trying to find a place in this world",Chorus,Taylor Swift
Taylor Swift,A Place In This World,10,"Got the radio on, my old blue jeans",Verse 2,Taylor Swift
Taylor Swift,A Place In This World,11,And I'm wearing my heart on my sleeve,Verse 2,Taylor Swift
Taylor Swift,A Place In This World,12,"Feeling lucky today, got the sunshine",Verse 2,Taylor Swift
Taylor Swift,A Place In This World,13,Could you tell me what more do I need,Verse 2,Taylor Swift
Taylor Swift,A Place In This World,14,"And tomorrow's just a mystery, oh yeah",Verse 2,Taylor Swift
Taylor Swift,A Place In This World,15,But that's OK,Verse 2,Taylor Swift
Taylor Swift,A Place In This World,16,"I'm alone, on my own, and that's all I know",Chorus,Taylor Swift
Taylor Swift,A Place In This World,17,"I'll be strong, I'll be wrong, oh but life goes on",Chorus,Taylor Swift
Taylor Swift,A Place In This World,18,"Oh, I'm just a girl, trying to find a place in this world",Chorus,Taylor Swift
Taylor Swift,A Place In This World,19,Maybe I'm just a girl on a mission,Bridge,Taylor Swift
Taylor Swift,A Place In This World,20,But I'm ready to fly,Bridge,Taylor Swift
Taylor Swift,A Place In This World,21,"I'm alone, on my own, and that's all I know",Chorus,Taylor Swift
