"name","gender","country","sport","birth_date","height","weight","age"
"SABINO Steven","Male","Mozambique","Athletics",2006-04-24,175,0,18
"JOHANNES Helalia","Female","Namibia","Athletics",1980-08-13,165,0,43
"McPHERSON Stephenie Ann","Female","Jamaica","Athletics",1988-11-25,173,0,35
"NELSON Kemba","Female","Jamaica","Athletics",2000-02-23,173,0,24
"KIPLIMO Jacob","Male","Uganda","Athletics",2000-11-14,178,0,23
"CHELANGAT Mercyline","Female","Uganda","Athletics",1997-12-17,168,0,26
"CHELANGAT Sarah","Female","Uganda","Athletics",2001-06-05,161,0,23
"MEREDOVA Valentina","Female","Turkmenistan","Athletics",1984-09-29,160,0,39
"GEGA Luiza","Female","Albania","Athletics",1988-11-05,161,0,35
"ESSABAI Ahmed","Male","Libya","Athletics",2000-06-25,0,0,24
"FITI Scott James","Male","Micronesia","Athletics",1995-07-17,174,0,29
"CHOPRA Neeraj","Male","India","Athletics",1997-12-24,186,0,26
"FAHMI Muhd Azeem","Male","Malaysia","Athletics",2004-04-29,181,0,20
"BAKRACI Gresa","Female","Kosovo","Athletics",1995-09-11,162,0,28
"WILLIAMS Sada","Female","Barbados","Athletics",1997-12-01,168,0,26
"EVELYN Tristan","Female","Barbados","Athletics",1998-01-25,163,0,26
"PERRIER Marie","Female","Mauritius","Athletics",1995-03-30,168,0,29
"BIBI Gary Noa Jerrel","Male","Mauritius","Athletics",2000-08-21,178,0,23
"ACCAME Ilaria Elvira","Female","Italy","Athletics",2001-08-31,175,0,22
"ACETI Vladimir","Male","Italy","Athletics",1998-10-16,185,0,25
"ALI Chituru","Male","Italy","Athletics",1999-04-06,198,0,25
"BIANCIARDI Lapo","Male","Italy","Athletics",1998-07-06,180,0,26
"BONGIORNI Anna","Female","Italy","Athletics",1993-09-15,164,0,30
"BONORA Alessandra","Female","Italy","Athletics",2000-09-07,173,0,23
"BORGA Rebecca","Female","Italy","Athletics",1998-06-11,170,0,26
"CECCARELLI Samuele","Male","Italy","Athletics",2000-01-09,184,0,24
"DESALU Eseosa Fostine","Male","Italy","Athletics",1994-02-19,180,0,30
"DOSSO Zaynab","Female","Italy","Athletics",1999-09-12,170,0,24
"HOOPER Gloria","Female","Italy","Athletics",1992-03-03,174,0,32
"JACOBS Lamont Marcell","Male","Italy","Athletics",1994-09-26,186,0,29
"KADDARI Dalia","Female","Italy","Athletics",2001-03-23,171,0,23
"LOPEZ Brayan","Male","Italy","Athletics",1997-06-20,173,0,27
"MANGIONE Alice","Female","Italy","Athletics",1997-01-19,170,0,27
"MELI Riccardo","Male","Italy","Athletics",2001-04-15,199,0,23
"MELLUZZO Matteo","Male","Italy","Athletics",2002-07-29,187,0,21
"PATTA Lorenzo","Male","Italy","Athletics",2000-05-23,173,0,24
"PAVESE Alessia","Female","Italy","Athletics",1998-07-15,180,0,26
"POLINARI Anna","Female","Italy","Athletics",1999-02-07,175,0,25
"RE Davide","Male","Italy","Athletics",1993-03-16,183,0,31
"SCOTTI Edoardo","Male","Italy","Athletics",2000-05-09,184,0,24
"SIRAGUSA Irene","Female","Italy","Athletics",1993-06-23,160,0,31
"SITO Luca","Male","Italy","Athletics",2003-05-12,189,0,21
"TORTU Filippo","Male","Italy","Athletics",1998-06-15,187,0,26
"TREVISAN Giancarla","Female","Italy","Athletics",1993-02-17,168,0,31
"TROIANI Virginia","Female","Italy","Athletics",1996-02-22,167,0,28
"ARESE Pietro","Male","Italy","Athletics",1999-10-08,189,0,24
"BARONTINI Simone","Male","Italy","Athletics",1999-01-05,185,0,25
"BATTOCLETTI Nadia","Female","Italy","Athletics",2000-04-12,170,0,24
"BELLO Elena","Female","Italy","Athletics",1997-01-18,165,0,27
"CAVALLI Ludovica","Female","Italy","Athletics",2000-12-20,165,0,23
"COIRO Eloisa","Female","Italy","Athletics",2000-12-01,170,0,23
"CRIPPA Yemaneberhan","Male","Italy","Athletics",1996-10-15,173,0,27
"del BUONO Federica","Female","Italy","Athletics",1994-12-12,164,0,29
"EPIS Giovanna","Female","Italy","Athletics",1988-10-11,164,0,35
"RAHMAN Imranur","Male","Bangladesh","Athletics",1993-07-05,170,0,31
"FANIEL Eyob","Male","Italy","Athletics",1992-11-26,174,0,31
"MESLEK Ossama","Male","Italy","Athletics",1997-01-08,178,0,27
"MEUCCI Daniele","Male","Italy","Athletics",1985-10-07,178,0,38
"TECUCEANU Catalin","Male","Italy","Athletics",1999-09-09,180,0,24
"VISSA Sintayehu","Female","Italy","Athletics",1996-07-29,168,0,27
"YAREMCHUK Sofiia","Female","Italy","Athletics",1994-06-03,170,0,30
