Season Type,game,Season,Game Date,Series,team,Home,Opp,game_in_series,,GS,MP,made2,attempt3,per2,made3,attempt3,per3,made1,attempt1,per1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,game score,Game Result,Point Diff
Regular,45,2006/07,2/2/2007,NA,CLE,Home,CHA,,W (+20),1,35:39:00,7,13,0.538,0,1,0,4,8,0.5,1,9,10,3,2,0,1,1,18,16.2,Win,20.00
Regular,46,2006/07,2/4/2007,NA,CLE,Home,DET,,L (-12),1,43:17:00,9,22,0.409,1,4,0.25,2,3,0.667,0,5,5,6,2,0,3,2,23,12.7,Loss,-12.00
Regular,47,2006/07,2/7/2007,NA,CLE,Home,LAC,,W (+17),1,36:19:00,4,13,0.308,1,2,0.5,2,2,1,0,7,7,3,1,1,2,1,13,7,Win,17.00
Regular,48,2006/07,2/9/2007,NA,CLE,Home,MIA,,W (+24),1,41:08:00,12,22,0.545,1,4,0.25,4,8,0.5,1,6,7,6,0,0,2,1,31,21.1,Win,24.00
Regular,49,2006/07,2/11/2007,NA,CLE,Home,LAL,,W (+9),1,38:21:00,5,16,0.313,0,2,0,8,12,0.667,1,7,8,5,1,1,1,3,18,13,Win,9.00
Regular,50,2006/07,2/14/2007,NA,CLE,Away,UTA,,L (-1),1,42:39:00,9,25,0.36,0,3,0,5,9,0.556,3,7,10,4,1,3,0,2,23,16.8,Loss,-1.00
Regular,51,2006/07,2/15/2007,NA,CLE,Away,LAL,,W (+6),1,39:48:00,10,16,0.625,0,1,0,18,22,0.818,0,4,4,3,3,0,3,4,38,30.9,Win,6.00
Regular,52,2006/07,2/21/2007,NA,CLE,Away,TOR,,W (+1),1,36:49:00,12,25,0.48,0,1,0,5,5,1,0,4,4,2,1,1,3,3,29,16.4,Win,1.00
Regular,53,2006/07,2/22/2007,NA,CLE,Home,CHI,,L (-6),1,42:58:00,13,28,0.464,1,4,0.25,2,8,0.25,3,4,7,2,3,0,3,1,31,16.5,Loss,-6.00
Regular,54,2006/07,2/25/2007,NA,CLE,Away,MIA,,L (-5),1,41:30:00,10,22,0.455,2,5,0.4,7,12,0.583,0,3,3,7,0,1,2,2,33,19.3,Loss,-5.00
Regular,55,2006/07,2/27/2007,NA,CLE,Home,NOK,,W (+8),1,42:50:00,14,22,0.636,3,4,0.75,4,7,0.571,1,4,5,8,2,1,4,1,41,29.8,Win,8.00
Regular,56,2006/07,3/1/2007,NA,CLE,Away,DAL,,L (-3),1,39:58:00,17,27,0.63,1,4,0.25,4,8,0.5,0,3,3,5,0,0,2,2,41,26.9,Loss,-3.00
Regular,57,2006/07,3/3/2007,NA,CLE,Home,TOR,,W (+23),1,37:22:00,10,20,0.5,1,3,0.333,15,17,0.882,2,3,5,6,0,3,2,1,38,31.4,Win,23.00
Regular,58,2006/07,3/5/2007,NA,CLE,Home,HOU,,W (+6),1,41:38:00,12,24,0.5,3,6,0.5,5,9,0.556,1,11,12,8,0,0,3,2,38,24.2,Win,6.00
Regular,59,2006/07,3/7/2007,NA,CLE,Away,DET,,W (+4),1,50:40:00,17,31,0.548,1,3,0.333,6,8,0.75,2,5,7,8,3,1,4,4,43,31.9,Win,4.00
Regular,60,2006/07,3/10/2007,NA,CLE,Away,MIL,,W (+2),1,36:30:00,12,22,0.545,4,6,0.667,4,4,1,0,8,8,9,3,1,6,5,40,25.8,Win,2.00
Regular,61,2006/07,3/11/2007,NA,CLE,Home,IND,,W (+11),1,38:42:00,10,22,0.455,2,6,0.333,4,5,0.8,3,4,7,6,3,1,2,2,30,22.6,Win,11.00
Regular,62,2006/07,3/14/2007,NA,CLE,Away,MEM,,W (+22),1,29:35:00,11,17,0.647,4,7,0.571,3,6,0.5,1,5,6,4,3,0,2,0,37,26.3,Win,22.00
Regular,63,2006/07,3/17/2007,NA,CLE,Home,UTA,,W (+9),1,43:40:00,8,21,0.381,0,6,0,8,13,0.615,2,15,17,9,2,2,4,3,24,20.9,Win,9.00
Regular,64,2006/07,3/20/2007,NA,CLE,Away,CHA,,L (-8),1,46:33:00,12,31,0.387,2,9,0.222,11,12,0.917,2,4,6,6,1,3,3,4,41,25,Loss,-8.00
Regular,65,2006/07,3/21/2007,NA,CLE,Home,DAL,,L (-8),1,45:27:00,12,28,0.429,1,6,0.167,6,7,0.857,0,6,6,4,2,3,6,3,33,17.3,Loss,-8.00
Regular,66,2006/07,3/23/2007,NA,CLE,Home,NYK,,W (+22),1,38:16:00,8,16,0.5,0,1,0,5,6,0.833,1,2,3,10,2,0,1,1,21,21.5,Win,22.00
Regular,67,2006/07,3/25/2007,NA,CLE,Home,DEN,,L (-12),1,40:49:00,8,19,0.421,1,6,0.167,1,1,1,0,3,3,8,1,0,5,4,20,8.8,Loss,-12.00
Regular,68,2006/07,3/27/2007,NA,CLE,Away,IND,,W (+11),1,40:08:00,8,18,0.444,0,3,0,10,14,0.714,1,6,7,6,2,0,3,4,26,19.1,Win,11.00
Regular,69,2006/07,3/28/2007,NA,CLE,Away,NYK,,L (-4),1,43:55:00,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,3,28,15.7,Loss,-4.00
Regular,70,2006/07,3/31/2007,NA,CLE,Away,CHI,,W (+4),1,47:24:00,14,25,0.56,0,3,0,11,13,0.846,1,4,5,9,3,0,7,4,39,28.9,Win,4.00
Regular,71,2006/07,4/3/2007,NA,CLE,Away,MIN,,W (+13),1,41:49:00,13,24,0.542,0,2,0,5,5,1,2,10,12,6,4,1,2,1,31,30.3,Win,13.00
Regular,72,2006/07,4/5/2007,NA,CLE,Home,MIA,,L (-4),1,48:36:00,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,4,39,25.3,Loss,-4.00
Regular,73,2006/07,4/6/2007,NA,CLE,Away,WAS,,W (+5),1,44:25:00,7,23,0.304,0,3,0,11,14,0.786,0,6,6,5,1,1,2,3,25,14.3,Win,5.00
Regular,74,2006/07,4/8/2007,NA,CLE,Away,DET,,L (-5),1,43:06:00,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,2,22,11.3,Loss,-5.00
Regular,75,2006/07,4/12/2007,NA,CLE,Home,NJN,,W (+18),1,35:15:00,15,27,0.556,0,1,0,5,9,0.556,3,5,8,4,2,1,2,1,35,27.2,Win,18.00
Regular,76,2006/07,4/14/2007,NA,CLE,Home,ATL,,W (+34),1,31:57:00,8,16,0.5,3,6,0.5,4,5,0.8,1,4,5,6,1,1,0,1,29,22,Win,34.00
