drive_id,drive_start,drive_end
2021_09_NE_CAR_10,Interception,Field Goal
2016_13_LA_NE_18,Interception,Field Goal
2019_17_IND_JAX_9,Interception,Field Goal
2019_04_JAX_DEN_14,Interception,Field Goal
2019_05_BAL_PIT_13,Interception,Field Goal
2017_02_TEN_JAX_11,Interception,Field Goal
2019_15_TB_DET_15,Interception,Field Goal
2020_16_LA_SEA_10,Interception,Field Goal
2019_14_DET_MIN_18,Interception,Field Goal
2020_12_LV_ATL_8,Interception,Field Goal
2017_01_NYG_DAL_18,Interception,Field Goal
2016_17_NE_MIA_5,Interception,Field Goal
2016_06_DAL_GB_14,Interception,Field Goal
2020_10_JAX_GB_20,Interception,Field Goal
2017_11_TEN_PIT_22,Interception,Field Goal
2021_11_NE_ATL_19,Interception,Field Goal
2020_05_LA_WAS_11,Interception,Field Goal
2018_17_MIA_BUF_5,Interception,Field Goal
2021_17_TB_NYJ_9,Interception,Field Goal
2016_13_DET_NO_12,Interception,Field Goal
2016_02_BAL_CLE_12,Interception,Field Goal
2020_16_DEN_LAC_3,Interception,Punt
2018_02_MIA_NYJ_18,Interception,Punt
2016_10_SEA_NE_8,Interception,Punt
2016_17_NYG_WAS_16,Interception,Punt
2016_10_CLE_BAL_16,Interception,Punt
2018_10_DET_CHI_19,Interception,Punt
2018_03_NE_DET_17,Interception,Punt
2016_09_PIT_BAL_5,Interception,Punt
2016_10_CLE_BAL_6,Interception,Punt
2020_12_MIA_NYJ_12,Interception,Punt
2017_11_PHI_DAL_23,Interception,Punt
2021_08_CAR_ATL_9,Interception,Punt
2019_04_CLE_BAL_20,Interception,Punt
2019_14_DEN_HOU_17,Interception,Punt
2021_06_HOU_IND_21,Interception,Punt
2018_14_IND_HOU_10,Interception,Punt
2017_11_BAL_GB_9,Interception,Punt
2018_07_NE_CHI_19,Interception,Punt
2019_15_CLE_ARI_3,Interception,Punt
2019_05_NE_WAS_13,Interception,Punt
2021_12_ATL_JAX_5,Interception,Punt
2020_12_CAR_MIN_6,Interception,Punt
2018_08_SEA_DET_19,Interception,Punt
2016_02_ATL_OAK_13,Interception,Punt
2018_06_TB_ATL_14,Interception,Punt
2016_17_GB_DET_19,Interception,Punt
2021_01_JAX_HOU_24,Interception,Punt
2016_08_WAS_CIN_8,Interception,Punt
2020_13_NE_LAC_13,Interception,Punt
2018_02_ARI_LA_12,Interception,Punt
2021_12_CHI_DET_10,Interception,Punt
2018_03_PIT_TB_11,Interception,Punt
2017_16_NYG_ARI_6,Interception,Punt
2017_10_PIT_IND_2,Interception,Punt
2017_06_LAC_OAK_12,Interception,Punt
2016_16_TB_NO_17,Interception,Punt
2018_16_NYG_IND_6,Interception,Punt
2020_17_BAL_CIN_21,Interception,Punt
2018_11_PIT_JAX_13,Interception,Punt
2017_04_PIT_BAL_20,Interception,Punt
2019_05_CLE_SF_4,Interception,Punt
2017_05_SEA_LA_20,Interception,Punt
2018_05_ARI_SF_4,Interception,Punt
2020_04_JAX_CIN_2,Interception,Punt
2018_04_BUF_GB_9,Interception,Punt
2019_10_LA_PIT_20,Interception,Punt
2019_13_NO_ATL_17,Interception,Punt
2019_16_HOU_TB_26,Interception,Punt
2020_07_CHI_LA_22,Interception,Punt
2019_11_KC_LAC_6,Interception,Punt
2019_13_CHI_DET_14,Interception,Punt
2021_10_CAR_ARI_11,Interception,Punt
2020_13_LV_NYJ_3,Interception,Punt
2020_08_LA_MIA_14,Interception,Punt
2021_10_DET_PIT_6,Interception,Punt
2020_03_CIN_PHI_3,Interception,Punt
2016_16_NYG_PHI_8,Interception,Punt
2016_04_LA_ARI_23,Interception,Punt
2016_14_SD_CAR_25,Interception,Punt
2016_12_TEN_CHI_8,Interception,Punt
2016_03_OAK_TEN_19,Interception,Punt
2020_09_DET_MIN_14,Interception,Punt
2018_07_HOU_JAX_21,Interception,Punt
2017_14_DET_TB_16,Interception,Punt
2020_11_PIT_JAX_23,Interception,Punt
