county_id,county_state,metro,ruc,economic,population,no_hs,high_school,some_college,bachelor,poverty,minor_poverty,home_income
2565,"Coleman County,TX",No,6,1,8467,0.182,0.341,0.322,0.156,0.193,0.306,39484
2566,"Collin County,TX",Yes,1,0,916877,0.063,0.148,0.271,0.517,0.064,0.067,96936
2567,"Collingsworth County,TX",No,9,1,2999,0.239,0.306,0.271,0.184,0.173,0.267,39536
2568,"Colorado County,TX",No,6,0,21032,0.185,0.364,0.265,0.186,0.137,0.219,48258
2569,"Comal County,TX",Yes,1,5,130622,0.076,0.26,0.312,0.353,0.071,0.102,76523
2570,"Comanche County,TX",No,7,1,13573,0.162,0.362,0.278,0.198,0.164,0.25,52251
2571,"Concho County,TX",No,8,1,3629,0.379,0.281,0.22,0.119,0.266,0.257,40987
2572,"Cooke County,TX",No,6,2,39358,0.138,0.315,0.342,0.205,0.148,0.249,52047
2573,"Coryell County,TX",Yes,2,4,75348,0.119,0.28,0.445,0.157,0.15,0.201,48099
2574,"Cottle County,TX",No,9,1,1422,0.215,0.329,0.303,0.153,0.212,0.401,38304
2575,"Crane County,TX",No,6,2,4747,0.231,0.307,0.337,0.124,0.101,0.136,61987
2576,"Crockett County,TX",No,7,2,3643,0.212,0.343,0.305,0.141,0.153,0.234,49117
2577,"Crosby County,TX",Yes,2,1,5887,0.238,0.359,0.274,0.128,0.237,0.371,37911
2578,"Culberson County,TX",No,9,4,2263,0.327,0.378,0.205,0.09,0.203,0.327,42164
2579,"Dallam County,TX",No,7,0,7191,0.308,0.265,0.291,0.136,0.121,0.181,50587
2580,"Dallas County,TX",Yes,1,0,2547610,0.213,0.226,0.254,0.307,0.142,0.207,59838
2581,"Dawson County,TX",No,7,0,13102,0.273,0.366,0.236,0.125,0.229,0.299,43726
2582,"Deaf Smith County,TX",No,6,1,18938,0.27,0.342,0.267,0.122,0.175,0.253,44230
2583,"Delta County,TX",No,8,1,5214,0.144,0.339,0.304,0.213,0.172,0.26,44410
2584,"Denton County,TX",Yes,1,0,782941,0.075,0.181,0.299,0.445,0.073,0.081,88384
2585,"DeWitt County,TX",No,6,0,20359,0.19,0.392,0.29,0.128,0.184,0.252,49208
2586,"Dickens County,TX",No,8,1,2243,0.185,0.342,0.307,0.167,0.203,0.275,39627
2587,"Dimmit County,TX",No,6,2,10508,0.327,0.332,0.199,0.141,0.246,0.358,37177
2588,"Donley County,TX",No,8,1,3440,0.118,0.319,0.366,0.198,0.186,0.278,40945
2589,"Duval County,TX",No,7,2,11411,0.329,0.311,0.268,0.093,0.255,0.361,35156
2590,"Eastland County,TX",No,6,2,18307,0.164,0.355,0.349,0.133,0.187,0.261,44773
2591,"Ector County,TX",Yes,3,2,154732,0.239,0.301,0.304,0.156,0.129,0.179,60431
2592,"Edwards County,TX",No,9,4,1926,0.243,0.29,0.259,0.208,0.221,0.373,37812
2593,"Ellis County,TX",Yes,1,3,165474,0.143,0.283,0.343,0.231,0.088,0.14,76792
2594,"El Paso County,TX",Yes,2,0,829248,0.225,0.239,0.309,0.228,0.205,0.289,43948
2595,"Erath County,TX",No,4,4,40819,0.139,0.234,0.329,0.297,0.181,0.201,47087
2596,"Falls County,TX",Yes,2,4,17356,0.23,0.379,0.262,0.129,0.217,0.277,37428
2597,"Fannin County,TX",No,6,4,34112,0.15,0.358,0.324,0.167,0.138,0.195,53111
2598,"Fayette County,TX",No,6,1,24949,0.158,0.403,0.258,0.181,0.133,0.194,55776
2599,"Fisher County,TX",No,8,1,3883,0.141,0.343,0.334,0.182,0.155,0.213,45261
2600,"Floyd County,TX",No,6,1,5949,0.265,0.279,0.296,0.159,0.21,0.333,39891
2601,"Foard County,TX",No,9,1,1238,0.225,0.287,0.326,0.162,0.18,0.31,37648
2602,"Fort Bend County,TX",Yes,1,0,714005,0.098,0.177,0.263,0.461,0.079,0.104,92310
2603,"Franklin County,TX",No,7,0,10670,0.113,0.3,0.351,0.236,0.152,0.239,48222
2604,"Freestone County,TX",No,7,2,19724,0.178,0.328,0.363,0.13,0.137,0.193,49317
2605,"Frio County,TX",No,6,2,19201,0.334,0.357,0.237,0.072,0.275,0.339,41038
2606,"Gaines County,TX",No,7,2,19816,0.388,0.294,0.194,0.124,0.154,0.22,56321
2607,"Galveston County,TX",Yes,1,4,321160,0.118,0.255,0.327,0.3,0.121,0.166,71959
2608,"Garza County,TX",No,6,2,6369,0.386,0.279,0.196,0.139,0.246,0.264,46490
2609,"Gillespie County,TX",No,7,5,25934,0.106,0.306,0.249,0.338,0.096,0.157,61433
2610,"Glasscock County,TX",No,8,1,1342,0.289,0.209,0.271,0.232,0.097,0.133,83330
2611,"Goliad County,TX",Yes,3,1,7480,0.124,0.307,0.393,0.176,0.144,0.226,55008
2612,"Gonzales County,TX",No,6,1,20496,0.241,0.414,0.222,0.123,0.169,0.253,49829
2613,"Gray County,TX",No,6,2,22688,0.199,0.323,0.344,0.133,0.167,0.219,49121
2614,"Grayson County,TX",Yes,3,0,127222,0.114,0.309,0.372,0.205,0.123,0.166,51403
2615,"Gregg County,TX",Yes,3,2,123027,0.162,0.287,0.344,0.208,0.151,0.209,50610
2616,"Grimes County,TX",No,6,3,27436,0.204,0.356,0.294,0.146,0.175,0.253,49498
2617,"Guadalupe County,TX",Yes,1,0,151053,0.114,0.309,0.302,0.275,0.085,0.12,73864
2618,"Hale County,TX",No,4,0,34397,0.238,0.339,0.258,0.165,0.184,0.262,42782
2619,"Hall County,TX",No,9,1,3117,0.241,0.288,0.327,0.143,0.241,0.388,32597
2620,"Hamilton County,TX",No,6,1,8312,0.185,0.338,0.26,0.217,0.147,0.234,49210
2621,"Hansford County,TX",No,7,1,5562,0.312,0.279,0.266,0.143,0.116,0.172,57240
2622,"Hardeman County,TX",No,9,0,3986,0.21,0.35,0.295,0.145,0.174,0.271,42469
2623,"Hardin County,TX",Yes,2,0,56061,0.121,0.394,0.332,0.153,0.124,0.171,60909
2624,"Harris County,TX",Yes,1,2,4511498,0.191,0.232,0.268,0.31,0.165,0.248,60241
2625,"Harrison County,TX",No,4,2,66428,0.151,0.343,0.315,0.191,0.147,0.228,50131
2626,"Hartley County,TX",No,7,1,5814,0.184,0.384,0.261,0.172,0.095,0.103,72451
2627,"Haskell County,TX",No,6,1,5780,0.278,0.345,0.243,0.134,0.231,0.339,40880
2628,"Hays County,TX",Yes,1,0,196432,0.105,0.223,0.297,0.374,0.132,0.121,68180
2629,"Hemphill County,TX",No,7,2,4020,0.205,0.293,0.291,0.21,0.096,0.134,66849
2630,"Henderson County,TX",No,4,0,80085,0.165,0.337,0.316,0.182,0.194,0.299,43337
2631,"Hidalgo County,TX",Yes,2,0,835292,0.355,0.232,0.229,0.184,0.3,0.404,38785
2632,"Hill County,TX",No,6,0,35275,0.176,0.346,0.306,0.171,0.126,0.202,48670
2633,"Hockley County,TX",No,6,2,23115,0.24,0.266,0.354,0.14,0.195,0.281,46764
2634,"Hood County,TX",Yes,1,2,55820,0.106,0.3,0.333,0.261,0.102,0.168,60917
2635,"Hopkins County,TX",No,6,0,36032,0.163,0.362,0.292,0.183,0.146,0.211,52079
2636,"Houston County,TX",No,7,4,23056,0.197,0.369,0.292,0.141,0.261,0.408,39533
2637,"Howard County,TX",No,4,2,36105,0.208,0.336,0.333,0.123,0.206,0.251,50423
2638,"Hudspeth County,TX",Yes,2,4,3994,0.461,0.307,0.163,0.069,0.178,0.25,42671
2639,"Hunt County,TX",Yes,1,3,91166,0.15,0.349,0.308,0.193,0.136,0.201,53360
2640,"Hutchinson County,TX",No,6,2,21658,0.145,0.334,0.383,0.138,0.13,0.189,54351
2641,"Irion County,TX",Yes,3,2,1550,0.072,0.359,0.399,0.169,0.081,0.102,56775
2642,"Jack County,TX",No,6,2,8874,0.199,0.396,0.279,0.126,0.177,0.219,48780
2643,"Jackson County,TX",No,6,3,14686,0.168,0.33,0.341,0.161,0.129,0.194,54088
2644,"Jasper County,TX",No,6,0,35522,0.154,0.446,0.276,0.124,0.192,0.299,47551
2645,"Jeff Davis County,TX",No,9,4,2248,0.149,0.227,0.274,0.351,0.131,0.344,51343
2646,"Jefferson County,TX",Yes,2,0,254218,0.16,0.326,0.319,0.196,0.187,0.278,48121
2647,"Jim Hogg County,TX",No,6,4,5264,0.258,0.376,0.243,0.123,0.252,0.386,36176
2648,"Jim Wells County,TX",No,4,2,41121,0.254,0.367,0.252,0.127,0.212,0.333,41919
2649,"Johnson County,TX",Yes,1,0,161321,0.152,0.338,0.327,0.183,0.107,0.155,62635
2650,"Jones County,TX",Yes,3,4,19945,0.216,0.403,0.267,0.115,0.22,0.24,43903
2651,"Karnes County,TX",No,6,4,15310,0.238,0.366,0.251,0.144,0.218,0.253,48743
2652,"Kaufman County,TX",Yes,1,0,116181,0.138,0.331,0.323,0.207,0.115,0.153,67434
2653,"Kendall County,TX",Yes,1,0,40526,0.069,0.212,0.31,0.409,0.075,0.105,90937
2654,"Kenedy County,TX",No,9,2,431,0.663,0.211,0.058,0.068,0.143,0.203,42153
2655,"Kent County,TX",No,9,1,756,0.187,0.327,0.25,0.236,0.133,0.203,47625
2656,"Kerr County,TX",No,4,5,51100,0.115,0.275,0.354,0.256,0.139,0.233,53704
2657,"Kimble County,TX",No,7,5,4432,0.157,0.311,0.311,0.221,0.176,0.359,42503
2658,"King County,TX",No,9,1,281,0.145,0.377,0.296,0.182,0.137,0.157,57925
2659,"Kinney County,TX",No,7,4,3630,0.266,0.356,0.281,0.096,0.211,0.266,43192
2660,"Kleberg County,TX",No,4,4,31357,0.208,0.252,0.291,0.248,0.25,0.333,42605
2661,"Knox County,TX",No,9,2,3730,0.195,0.324,0.284,0.196,0.204,0.315,39726
2662,"Lamar County,TX",No,5,3,49566,0.154,0.336,0.333,0.176,0.144,0.222,45767
2663,"Lamb County,TX",No,6,1,13363,0.259,0.326,0.255,0.159,0.2,0.278,42700
2664,"Lampasas County,TX",Yes,2,0,20443,0.094,0.281,0.425,0.2,0.129,0.202,55151
