track,artist,genre,release_date,year,word_count,unique_words
Five More Hours,Deorro,dance_pop,2017-03-31,2017,327,110
Used to the Darkness,Des Rocs,rock,2018-11-02,2018,434,124
Survivor,Destiny's Child,dance_pop,2001-01-01,2001,735,169
Doobie Ashtray,Devin The Dude,hip_hop,2013-08-15,2013,662,242
Beautiful Mess,Diamond Rio,country,2002-07-08,2002,327,116
Once,Diana Vickers,dance_pop,2010-05-03,2010,222,88
I Need a Girl (Pt. 1) [feat. Usher & Loon],Diddy,hip_hop,2005-10-04,2005,981,297
Drunk On A Plane,Dierks Bentley,country,2014-01-01,2014,407,167
"You Can't Hide, You Can't Run",Dilated Peoples,hip_hop,2006-02-21,2006,557,245
Touch,Dillon Francis,dance_pop,2020-04-15,2020,242,78
Say My Name,Dimitri Vegas & Like Mike,dance_pop,2020-07-24,2020,358,105
On My Mind,Diplo,dance_pop,2021-03-12,2021,389,30
Woman,Doja Cat,dance_pop,2021-06-25,2021,425,207
When I Come Around,Dom Kennedy,hip_hop,2011-06-28,2011,475,238
Dapper (feat. Anderson .Paak),Domo Genesis,hip_hop,2016-03-25,2016,311,216
Bad,Don Diablo,dance_pop,2020-03-20,2020,364,107
There Goes The Fear,Doves,rock,2002-01-01,2002,273,94
Knife Talk (with 21 Savage ft. Project Pat),Drake,hip_hop,2021-09-03,2021,450,292
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,hip_hop,2019-07-05,2019,559,387
Start a Riot,Duckwrth,hip_hop,2018-12-14,2018,489,206
Mercy,Duffy,dance_pop,2008,2008,472,130
Thinking 'Bout You (feat. Lauren Alaina),Dustin Lynch,country,2020-01-17,2020,522,363
How Does It Sound,Dylan Schneider,country,2017-07-21,2017,365,135
New Truck,Dylan Scott,country,2021-07-23,2021,354,143
U and Dat (feat. T. Pain & Kandi Girl),E-40,hip_hop,2006-03-14,2006,689,250
All Eyes On Me,EARTHGANG,hip_hop,2022-01-14,2022,623,296
Miss Alissa,Eagles Of Death Metal,rock,2004,2004,254,81
2010,Earl Sweatshirt,hip_hop,2022-01-14,2022,382,248
A Girl Like You,Easton Corbin,country,2017-01-27,2017,383,157
Cool Kids,Echosmith,dance_pop,2013-10-04,2013,312,94
Society,Eddie Vedder,rock,2007-09-18,2007,208,92
This Feeling,Eden Prince,dance_pop,2022-01-28,2022,229,101
Smokers Outside the Hospital Doors,Editors,rock,2007-01-01,2007,259,107
I Need Some Sleep,Eels,rock,2008-01-15,2008,133,56
One Day Like This,Elbow,rock,2008-01-01,2008,337,108
Crazy Girl,Eli Young Band,country,2011-01-01,2011,234,92
L.O.V.(e).,Ella Eyre,dance_pop,2020-05-08,2020,337,111
Brave,Ella Henderson,dance_pop,2022-01-07,2022,385,121
DFMU,Ella Mai,dance_pop,2022-01-28,2022,472,164
Hate Me,Ellie Goulding,dance_pop,2020-07-16,2020,613,146
She,Elvis Costello,rock,2012,2012,224,132
Next To Me,Emeli Sandé,dance_pop,2012-01-01,2012,313,110
Fall Into Me,Emerson Drive,country,2002-01-01,2002,179,95
Without Me,Eminem,hip_hop,2002-05-26,2002,770,369
Take My Breath Away,Emma Bunton,dance_pop,2001-01-01,2001,303,97
What Is Love (feat. V. Bozeman),Empire Cast,dance_pop,2015-03-09,2015,289,114
Bailando - Spanish Version,Enrique Iglesias,dance_pop,2014-01-01,2014,753,285
Drink In My Hand,Eric Church,country,2011-01-01,2011,443,159
Flowers On The Wall,Eric Heatherly,country,2000-10-03,2000,253,123
Music (feat. Marvin Gaye),Erick Sermon,hip_hop,2001-08-27,2001,456,217
Situations,Escape the Fate,rock,2006-10-03,2006,349,132
Outta Here,Esmée Denters,dance_pop,2009-01-01,2009,400,126
Who's That Girl?,Eve,hip_hop,2001-01-01,2001,589,187
Wonderful,Everclear,rock,2000-01-01,2000,499,177
Cherry (feat. Hayley Kiyoko),FLETCHER,dance_pop,2021-11-17,2021,562,398
Into You (feat. Ashanti),Fabolous,hip_hop,2003-01-14,2003,660,294
There You'll Be,Faith Hill,country,2001-10-01,2001,285,101
Centuries,Fall Out Boy,rock,2015-01-20,2015,339,137
Popular Monster,Falling In Reverse,rock,2019-11-20,2019,473,204
When I See U,Fantasia,dance_pop,2006-12-09,2006,382,142
Minefields,Faouzia,dance_pop,2020-11-05,2020,246,101
Turn Up The Love,Far East Movement,dance_pop,2012-01-01,2012,473,163
Wipeout,Fat Boys,hip_hop,2007-01-01,2007,289,138
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,hip_hop,2001-12-04,2001,920,331
What's Up Fatlip,Fatlip,hip_hop,2005,2005,460,223
Rhythm Of The Night,Fedde Le Grand,dance_pop,2016-12-23,2016,320,99
Just a Day - Edit,Feeder,rock,2006-05-15,2006,370,132
Happy Hour,Felix Cartal,dance_pop,2021-06-25,2021,250,100
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,dance_pop,2018-02-16,2018,323,235
Glamorous,Fergie,dance_pop,2006-01-01,2006,564,245
That's My Girl,Fifth Harmony,dance_pop,2016-05-27,2016,546,161
